,DWPC,HGHT,PRES,TMPC,UWND,VWND
2015-03-19 06:00:00,"[-11.44279069767442, -24.3929383886256, -7.1845, -21.66630681818182, -55.65451127819549, nan]","[813.1337209302329, 1488.6100473933652, 3025.583166666667, 5617.198636363636, 10501.206240601503, 16313.056]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.7748837209302301, -0.3306161137440756, -4.566666666666666, -17.511420454545455, -51.03142857142857, -61.379999999999995]","[-11.16537799209755, -5.4555442979852105, 13.875497786871366, 29.89958010177273, 74.12897760952151, 42.86930182548315]","[1.3051067705143746, -0.2491863866190015, -7.324388108676918, -8.578412169533976, 8.108500653422679, -13.656611036257411]"
2015-03-19 09:00:00,"[-11.358139534883723, -20.255523809523815, -7.564999999999999, -23.05107954545455, -54.6693984962406, nan]","[807.6507751937987, 1481.5690476190478, 3018.7798000000003, 5613.337585227273, 10483.877067669173, 16309.792]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.6686821705426333, -1.985714285714285, -4.539000000000001, -17.713124999999998, -50.1412030075188, -61.62]","[-12.474410019752039, -7.791435778464816, 16.144129794415537, 28.528325154793347, 68.57499553323787, 47.02142191694621]","[-0.3113360334566376, -0.43246500372410523, -7.963961058484942, -9.279314997504018, -1.584906032700098, -14.107102640462042]"
2015-03-19 12:00:00,"[-13.162093023255814, -23.634312796208537, -7.934080267558528, -28.008498583569406, -54.240264150943396, nan]","[805.9516279069769, 1481.2397630331754, 3018.7028428093645, 5615.871756373937, 10481.125056603774, 16309.256]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.7911627906976737, -0.9107109004739332, -5.235919732441472, -17.69399433427762, -49.87735849056604, -61.98]","[-12.990797759075681, -7.960178081926111, 15.588505095507807, 25.36357197925493, 67.77610785564545, 47.533151424256566]","[1.1317126767842691, 0.32419851020517954, -7.929094017581213, -8.722508508722852, -5.746929603970048, -14.126898445118664]"
2015-03-19 15:00:00,"[-12.251085271317828, -24.376000000000012, -7.180533333333332, -29.810764872521247, -54.81857142857143, nan]","[808.8173643410852, 1484.3108571428577, 3022.035866666667, 5618.3625212464585, 10473.936842105264, 16310.560000000001]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.7415503875968996, -0.7085714285714277, -5.049333333333333, -17.982662889518416, -50.281052631578945, -61.98]","[-11.809692532260293, -7.927693448075067, 14.090191845417284, 22.017003506409928, 66.4819300093164, 47.071963508484814]","[6.098553321285868, 2.7229378232464065, -6.3687168412311195, -4.624727761151465, 5.056008983971544, -10.235811421468972]"
2015-03-19 18:00:00,"[-9.35186046511628, -25.597333333333328, -6.804782608695652, -22.102840909090908, -59.33037735849056, nan]","[801.4444186046514, 1478.280333333333, 3020.063712374582, 5613.590284090908, 10458.976264150942, 16306.144]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[2.319844961240307, 0.33380952380952406, -4.521872909698997, -18.320227272727273, -49.56075471698113, -62.339999999999996]","[-6.69666691321774, -4.633990968817959, 16.290348032831947, 27.637169328346385, 67.85478369142837, 48.330314291697476]","[3.3940871275183087, 4.417070554271524, -3.4784955535829343, 0.36024161653307035, 7.015181175338473, -6.290736400910755]"
2015-03-19 21:00:00,"[-8.860232558139536, -18.575706806282735, -6.0919463087248324, -21.875285714285713, -61.54554716981132, nan]","[783.6365116279072, 1464.7959685863877, 3010.4137583892616, 5602.679914285714, 10439.19675471698, 16297.84480620155]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[4.733023255813951, 0.41643979057591685, -4.063355704697987, -17.805714285714288, -49.561509433962264, -62.2568992248062]","[-5.436518350642495, -2.0841631442696147, 20.902928028803025, 35.717785185772115, 71.10086977293919, 48.83035170781221]","[-0.19459759280990022, 2.3179797446167134, -3.8271678926845403, -1.1118329147784556, 5.76805670169394, -5.3812249087618715]"
2015-03-20 00:00:00,"[-8.61921875, -17.4715625, -7.280201342281879, -23.394571428571428, -61.301471698113204, nan]","[784.36125, 1466.6883333333333, 3013.05, 5605.200028571428, 10430.239471698113, 16302.728449612403]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[5.1392187499999995, 0.724375, -4.339194630872482, -17.175428571428572, -50.06037735849056, -61.69720930232558]","[-5.4366701717276555, -0.7467170295101968, 21.01951855005844, 38.29064747630036, 73.43090493180075, 48.64392661244087]","[-1.1111759864004591, 0.6817841110694999, -5.440062606729311, -7.78513053512644, 4.1041635929715214, -2.2540850398239254]"
2015-03-20 03:00:00,"[-8.685813953488372, -14.924062499999994, -9.765738255033558, -19.929085714285712, -64.09954545454545, nan]","[786.6702325581396, 1468.79125, 3011.602651006712, 5598.8261142857145, 10418.61928030303, 16295.56953488372]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[5.029922480620154, 0.24937500000000032, -5.9606711409396, -17.822857142857142, -50.238409090909094, -61.43751937984496]","[-4.9922593870254905, 0.38442423334175724, 18.159459623349964, 44.13562668417569, 76.11916934767228, 48.15653206608489]","[0.9003064339812255, 0.8677197921713308, -4.063855233152751, 4.969971064176473, 4.003063161435096, 0.6032297497240765]"
2015-03-20 06:00:00,"[-8.178906249999999, -14.387277486911, -7.90969696969697, -20.772914285714286, -61.52083018867925, nan]","[773.4693750000001, 1456.4571204188485, 2994.0153535353534, 5583.552142857143, 10398.260150943395, 16274.231472868218]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[4.7571875, 1.24, -6.332727272727271, -18.14114285714286, -50.509433962264154, -61.07782945736434]","[-2.173176713991612, 4.07739636254105, 18.011143280227582, 49.742997356929635, 81.59055285184671, 49.18860173634439]","[3.3550052198809888, -2.7761676484066555, 7.442572494390351, 3.970746389087422, 7.936660483731867, 2.7516052362963737]"
2015-03-20 09:00:00,"[-6.983124999999999, -6.569583333333333, -6.994161073825503, -20.52899713467049, -68.00762264150943, nan]","[770.3468749999998, 1451.900625, 2982.1848993288595, 5563.156246418339, 10374.814150943397, 16258.638294573644]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[4.19, -0.9725000000000004, -6.489530201342282, -18.43535816618911, -49.858867924528305, -60.61813953488372]","[3.637887076160364, 5.411719032955424, 25.07052044286549, 49.74432255895549, 87.10589806228896, 51.13225453561768]","[-1.6884580278260972, -5.798960089875857, 9.927208299066654, 8.537624212968897, 11.759362486486154, 0.7859503836324031]"
