,6,9,4
Date,TMPC,WSPD,PRCP
2010-01-20 18:00:00,-0.36,7.653103945458993,1.07
2010-01-20 21:00:00,0.34,7.5504966724050675,1.32
2010-01-21 00:00:00,0.54,7.119691004531026,0.61
2010-01-21 03:00:00,0.64,6.81175454637056,0.61
2010-01-21 06:00:00,0.74,7.40607858451421,0.41
2010-01-21 09:00:00,0.94,7.553806987208503,0.23
2010-01-21 12:00:00,1.24,6.918092222571191,0.36
2010-01-21 15:00:00,1.74,7.553806987208503,0.49
2010-01-21 18:00:00,2.54,7.940403012442126,0.23
2010-01-21 21:00:00,2.44,8.367197858303577,0.4
2010-01-22 00:00:00,2.24,7.803204469959764,2.02
2010-01-22 03:00:00,2.24,7.2201108024738785,0.35
2010-01-22 06:00:00,1.84,4.816637831516919,0.06
2010-01-21 12:00:00,-0.16,6.063827174318213,0.0
2010-01-21 15:00:00,0.54,6.428063471995278,0.24
2010-01-21 18:00:00,1.14,6.609841147864296,0.32
2010-01-21 21:00:00,1.34,7.119691004531026,1.38
2010-01-22 00:00:00,1.24,6.586349520030046,1.33
2010-01-22 03:00:00,1.14,6.370243323453194,0.12
2010-01-22 06:00:00,0.94,5.457105459856901,0.16
2010-01-22 09:00:00,0.64,5.830951894845301,0.11
2010-01-22 12:00:00,0.64,4.8270073544588685,0.02
2010-01-22 15:00:00,0.74,3.492849839314596,0.04
2010-01-22 18:00:00,1.94,3.3541019662496847,0.06
2010-01-22 21:00:00,2.24,4.386342439892261,0.03
2010-01-23 00:00:00,1.34,3.6221540552549665,0.06
2010-01-23 03:00:00,1.74,3.492849839314596,0.1
2010-01-23 06:00:00,2.64,4.742362280551752,0.18
2010-01-22 12:00:00,0.44,3.395585369269929,0.0
2010-01-22 15:00:00,0.94,4.87954915950234,0.01
2010-01-22 18:00:00,1.94,2.4758836806279896,0.03
2010-01-22 21:00:00,2.14,2.2203603311174516,0.05
2010-01-23 00:00:00,1.24,4.244997055358225,0.06
2010-01-23 03:00:00,1.24,3.7,0.07
2010-01-23 06:00:00,1.84,4.716990566028302,0.08
2010-01-23 09:00:00,2.74,4.883646178829912,0.1
2010-01-23 12:00:00,3.54,5.464430436925699,0.1
2010-01-23 15:00:00,4.74,6.488451279003334,0.02
2010-01-23 18:00:00,6.14,6.98927750200262,0.22
2010-01-23 21:00:00,7.24,8.276472678623424,0.16
2010-01-24 00:00:00,7.64,8.598255637046389,0.14
2010-01-24 03:00:00,7.84,8.883692925805123,0.39
2010-01-24 06:00:00,7.04,7.692203845452875,15.16
2010-01-23 12:00:00,2.74,5.517245689653488,0.0
2010-01-23 15:00:00,3.84,6.794115100585212,0.04
2010-01-23 18:00:00,5.54,7.357309290766564,0.11
2010-01-23 21:00:00,6.44,7.529276193632426,0.06
2010-01-24 00:00:00,6.64,7.685050422736339,0.1
2010-01-24 03:00:00,7.34,8.98276126811795,0.07
2010-01-24 06:00:00,5.74,6.841052550594827,5.03
2010-01-24 09:00:00,7.34,11.879393923933996,10.75
